No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
7206,1993-05-25 15:36:16,0, ,40.4701,28.0711,11.50,-,5,ISC,Ml,4.1,32,THE,-
7205,1993-05-21 09:01:17,0, ,39.8000,28.9300,3.00,-,5,ISC,mb,4.0,6,Kalafat ve Di?.2011,-
7179,1993-03-18 07:51:38,0, ,40.4271,28.0040,8.50,-,5,ISC,mb,4.4,5,ISC,-
7178,1993-03-18 07:22:45,0, ,40.4552,27.9811,9.50,-,5,ISC,mb,4.4,5,ISC,-
7177,1993-03-18 07:19:39,0, ,40.3995,28.0061,9.80,-,5,ISC,mb,4.1,5,ISC,-
7158,1993-01-23 15:32:45,0, ,40.7843,28.7635,6.30,-,5,ISC,Ml,4.1,32,THE,-
7022,1992-04-05 00:48:02,0, ,40.7961,27.9314,5.60,-,5,ISC,mb,4.0,14,NEIC,-
7012,1992-03-22 16:52:25,0, ,40.1720,28.4140,16.80,-,41,EHB,mb,4.9,5,ISC,-
6864,1991-05-28 18:26:49,0, ,40.5299,26.4190,8.30,-,5,ISC,mb,4.1,5,ISC,-
6767,1991-03-08 09:23:13,0, ,40.8504,27.9093,11.00,-,5,ISC,mb,4.5,5,ISC,-
6765,1991-03-03 08:39:27,0, ,40.6370,29.0780,9.10,-,41,EHB,mb,4.6,5,ISC,-
6759,1991-02-12 09:55:01,0, ,40.7880,28.8440,14.50,-,41,EHB,mb,4.8,5,ISC,-
6737,1991-01-07 05:15:14,0, ,40.6902,28.5579,8.30,-,5,ISC,Md,4.0,14,NEIC,-
6736,1991-01-04 08:13:49,0, ,39.9222,30.1670,7.50,-,5,ISC,Md,4.0,15,ATH,-
6698,1990-10-24 11:16:44,0, ,39.8444,30.2326,18.20,-,5,ISC,mb,4.3,5,ISC,-
6363,1989-01-27 09:48:36,0, ,40.4259,29.1492,11.00,-,5,ISC,mb,4.1,5,ISC,-
